354.22998,130850,131041,131106,131216,131168,131061,131286,131164,131227,131267,131341,131307,131365,131165,131345,131295,131138,131324,131246,131301,131167,131173,131227,131402,131253,131388,131159,131140,131325,131180,
354.27103,129875,130027,130168,130188,130236,129974,130072,130132,130104,130323,130244,130182,130165,130246,130191,130179,130169,130061,130082,130205,130225,130186,130217,130262,130098,130179,130259,130152,130155,130086,
354.31207,130376,130614,130570,130576,130543,130473,130413,130649,130538,130666,130747,130565,130625,130622,130700,130679,130656,130685,130531,130539,130654,130618,130556,130641,130617,130570,130740,130709,130818,130594,
354.35309,131138,131168,131193,131363,131334,131196,131248,131384,131367,131179,131215,131267,131259,131207,131271,131332,131361,131178,131305,131343,131244,131411,131249,131468,131240,131264,131276,131331,131369,131254,
354.39413,131636,131672,131787,131940,131855,131785,131774,131869,131875,131916,131807,131887,131904,131939,131924,131988,131837,131799,131892,131944,131826,131813,131875,131790,131997,131808,131980,131848,131859,131851,
354.43518,132254,132125,132521,132255,132406,132482,132443,132389,132429,132431,132368,132475,132358,132290,132502,132455,132264,132355,132421,132439,132464,132505,132436,132385,132614,132452,132379,132515,132451,132400,
354.4762,132748,132823,133124,133007,132975,133106,133144,133041,132957,133046,133134,133190,133088,133108,133022,133036,133024,133082,133018,133039,133070,133070,132957,133140,133017,133140,133103,133148,133091,133200,
354.51724,133649,133495,133656,133743,133758,133849,133734,133621,133599,133773,133692,133722,133770,133779,133720,133789,133673,133738,133661,133753,133632,133592,133727,133689,133871,133772,133729,133647,133713,133706,
354.55826,133830,133841,133941,134084,134070,134011,134082,134114,133969,134034,134000,134106,134069,133899,134150,134024,134061,133986,133981,134214,134107,134119,133988,133978,134013,134045,134046,133942,133950,133909,
354.5993,134592,134454,134538,134635,134472,134684,134688,134622,134649,134546,134670,134599,134652,134590,134740,134554,134663,134789,134676,134518,134757,134518,134537,134696,134582,134621,134580,134660,134595,134763,
354.64032,135193,135288,135331,135383,135159,135276,135434,135321,135383,135356,135334,135474,135357,135357,135395,135315,135277,135425,135255,135459,135429,135364,135303,135372,135323,135457,135359,135537,135372,135385,
354.68137,135669,135735,135643,135806,135759,135766,135831,135789,135700,135925,135687,135684,135828,135634,135831,135827,135671,135751,135788,135710,135545,135759,135637,135833,135843,135844,135823,135694,135784,135729,
354.72238,136112,136102,136250,136370,136370,136328,136336,136374,136307,136300,136424,136329,136304,136238,136063,136231,136081,136273,136279,136319,136309,136293,136434,136398,136543,136162,136361,136199,136424,136241,
354.7634,136752,136541,136665,136804,136864,136756,136817,136762,136688,136785,136783,136842,136726,136656,136835,136776,136721,136659,136807,136766,136775,136561,136831,136726,136932,136880,136812,136778,136809,136798,
354.80444,137341,137238,137495,137363,137514,137360,137464,137458,137312,137270,137407,137293,137501,137299,137480,137182,137371,137296,137333,137369,137365,137378,137415,137507,137447,137398,137432,137372,137507,137442,
354.84546,137625,137715,137715,137754,137851,137854,137768,137681,137867,137818,137811,137819,137943,137773,137739,137628,137849,137664,137743,137730,137887,137773,137643,137658,137919,137814,137736,137642,137705,137823,
354.88647,138071,138186,138328,138396,138254,138426,138444,138340,138359,138346,138407,138326,138224,138215,138332,138386,138366,138359,138237,138263,138338,138286,138414,138250,138256,138218,138337,138144,138365,138269,
354.92749,138867,138712,138902,138956,138722,138936,139036,139055,138806,138871,139111,139051,138992,138975,138993,138834,138867,138934,138979,138868,138959,139100,139073,138963,138887,139141,139084,138890,139001,139086,
354.96851,139312,139255,139412,139323,139343,139384,139666,139466,139535,139517,139573,139493,139528,139348,139558,139571,139473,139414,139529,139566,139465,139505,139559,139504,139387,139600,139457,139473,139582,139484,
355.00952,139639,139768,139988,139845,139845,139981,139903,139954,139899,139917,139772,139965,139809,139747,140009,140043,139845,139916,139939,139841,139953,139956,139856,139966,139914,139902,139864,139856,139906,139912,
355.05054,139922,140234,140244,140445,140382,140391,140474,140450,140451,140506,140424,140426,140397,140581,140477,140533,140305,140293,140521,140478,140468,140455,140424,140499,140431,140445,140437,140255,140500,140463,
355.09155,140682,140875,140870,140944,141104,140895,141079,141109,141174,141109,141067,141020,141031,141081,141091,141021,141068,140972,141104,141144,141134,141112,141170,141165,141178,141189,141055,141318,141133,141116,
355.13257,141200,141240,141395,141383,141386,141420,141532,141472,141512,141458,141590,141491,141486,141398,141413,141463,141331,141634,141382,141646,141470,141467,141487,141516,141510,141587,141464,141459,141593,141612,
355.17358,141540,141523,141699,141864,141760,141678,141885,141976,141942,141768,141868,141831,141761,141813,141867,141915,141850,141869,141939,141903,141926,141850,141932,142004,141970,141863,141930,141841,141978,141803,
355.2146,142084,142374,142450,142406,142319,142505,142466,142446,142468,142472,142444,142528,142488,142411,142503,142390,142564,142519,142537,142553,142510,142474,142527,142519,142624,142523,142600,142470,142618,142492,
355.25558,142674,142717,142788,142958,142852,142944,142905,142956,143056,142899,142924,142923,142978,142913,142923,143043,143001,143010,142954,142998,143071,143038,142772,142993,142889,142961,143014,143010,143076,143003,
355.2966,143256,143277,143345,143346,143467,143590,143289,143421,143431,143548,143490,143322,143397,143450,143517,143421,143378,143521,143530,143529,143486,143760,143610,143462,143442,143454,143515,143465,143494,143544,
355.33762,143583,143883,143706,143869,143824,143844,144031,143806,143883,143873,143918,143947,143887,143749,143952,143855,143964,143892,144006,143946,144046,143932,144000,143994,144038,144103,143910,143991,144059,143955,
355.3786,144215,144287,144493,144461,144557,144509,144575,144616,144545,144601,144634,144566,144511,144561,144672,144522,144564,144589,144517,144718,144635,144656,144697,144613,144666,144645,144556,144538,144693,144576,
